32	32	100	100	32	100	32	32	24	1	2	32	100	32	100	32	32	100	32	32	
3	16	100	100	16	100	2	66	1	6	6	16	100	2	100	2	4	100	66	16	
16	2	100	100	2	100	3	16	4	3	4	2	100	3	100	3	4	100	4	2	
4	21	100	100	21	100	21	4	5	2	1	21	100	1	100	3	4	100	28	5	
3	14	100	100	14	100	2	12	28	1	2	14	100	4	100	2	24	100	4	14	
3	4	100	100	4	100	14	4	11	3	4	14	100	4	100	2	4	100	4	4	
96	96	100	100	96	100	96	96	40	1	1	96	100	96	100	96	96	100	96	96	
24	24	100	100	24	100	3	6	5	3	4	3	100	24	100	4	32	100	32	24	
4	5	100	100	5	100	24	4	3	2	6	24	100	6	100	24	4	100	4	5	
21	21	100	100	21	100	3	28	1	2	3	21	100	3	100	3	4	100	4	21	
3	21	100	100	21	100	21	2	7	2	1	21	100	2	100	21	4	100	4	21	
96	96	100	100	96	100	96	96	4	1	2	96	100	96	100	96	96	100	96	96	
4	1	100	100	1	100	2	4	11	2	3	2	100	1	100	3	4	100	1	5	
3	4	100	100	4	100	14	4	3	1	1	14	100	4	100	2	4	100	4	4	
21	21	100	100	21	100	3	28	4	5	1	21	100	3	100	3	4	100	4	21	
40	40	100	100	40	100	40	40	16	12	6	40	100	40	100	40	40	100	40	40	
5	32	100	100	32	100	32	5	4	10	10	32	100	32	100	32	5	100	5	6	
3	4	100	100	4	100	5	3	2	9	10	4	100	5	100	1	3	100	3	4	
21	3	100	100	3	100	4	2	16	1	6	3	100	4	100	4	2	100	2	3	
4	1	100	100	1	100	2	4	5	3	4	2	100	1	100	3	4	100	1	5	
24	3	100	100	3	100	32	32	32	3	4	4	100	24	100	32	32	100	32	24	
32	32	100	100	32	100	4	40	32	10	22	32	100	4	100	4	32	100	40	32	
96	96	100	100	96	100	96	96	40	4	5	96	100	96	100	96	96	100	96	96	
24	24	100	100	24	100	3	24	2	1	2	24	100	3	100	3	24	100	24	24	
32	32	100	100	32	100	32	6	5	7	1	32	100	32	100	4	40	100	40	32	
80	80	100	100	80	100	80	88	4	7	8	80	100	80	100	80	80	100	88	80	
64	64	100	100	64	100	64	72	2	4	5	64	100	64	100	64	64	100	72	64	
3	4	100	100	4	100	5	3	2	8	9	4	100	5	100	16	3	100	3	4	
1	2	100	100	2	100	3	92	6	8	8	3	100	1	100	4	5	100	92	1	
2	3	100	100	3	100	4	3	2	4	5	3	100	3	100	14	3	100	3	3	
56	56	100	100	56	100	56	56	24	1	2	56	100	56	100	56	56	100	56	56	
72	72	100	100	72	100	72	80	4	2	3	72	100	72	100	72	72	100	80	72	
2	3	100	100	3	100	16	16	16	3	4	4	100	1	100	16	16	100	16	2	
2	3	100	100	3	100	4	3	2	1	2	3	100	3	100	14	3	100	3	3	
2	3	100	100	3	100	21	1	1	5	6	4	100	1	100	21	12	100	1	21	
4	44	100	100	44	100	2	4	5	3	1	2	100	44	100	3	4	100	44	5	
3	4	100	100	4	100	5	3	2	1	2	4	100	5	100	16	3	100	3	4	
4	21	100	100	21	100	21	4	11	3	1	21	100	1	100	3	4	100	28	5	
64	64	100	100	64	100	64	64	1	2	3	64	100	64	100	64	64	100	64	64	
40	48	100	100	48	100	48	48	12	4	4	48	100	48	100	48	48	100	48	48	
40	40	100	100	40	100	40	48	3	1	2	40	100	40	100	92	40	100	48	40	
80	80	100	100	80	100	88	88	24	5	6	80	100	80	100	88	88	100	88	80	
88	2	100	100	2	100	3	6	5	7	8	3	100	2	100	4	42	100	16	88	
3	4	100	100	4	100	1	3	4	4	4	1	100	5	100	2	3	100	3	4	
44	2	100	100	2	100	3	66	12	4	5	3	100	44	100	4	5	100	66	44	
3	21	100	100	21	100	21	2	7	4	2	21	100	2	100	21	4	100	4	21	
2	3	100	100	3	100	14	2	7	4	5	4	100	4	100	14	24	100	4	2	
96	96	100	100	96	100	96	96	2	4	5	96	100	96	100	96	96	100	96	96	
5	1	100	100	1	100	2	5	4	1	2	2	100	1	100	3	5	100	5	6	
4	14	100	100	14	100	2	5	4	6	7	2	100	76	100	3	5	100	5	5	
48	56	100	100	56	100	56	56	48	4	4	56	100	56	100	56	56	100	56	56	
80	80	100	100	80	100	80	88	56	4	5	80	100	80	100	80	80	100	88	80	
2	3	100	100	3	100	14	2	13	1	2	4	100	4	100	14	48	100	4	2	
16	2	100	100	2	100	3	66	4	1	2	2	100	3	100	3	4	100	66	2	
40	40	100	100	40	100	5	48	2	8	8	40	100	5	100	40	40	100	48	40	
48	1	100	100	1	100	2	56	5	4	2	2	100	1	100	3	48	100	1	48	
2	3	100	100	3	100	14	2	7	2	3	4	100	4	100	14	32	100	4	2	
